SMILES,Prediction_Score
CCN(CC)C(=O)[C@H]1C[C@@]12CCOc1ccc(OC)cc12,0.9996
O=C(Nc1ccc2oc(=O)[nH]c2c1)C1(c2cccc(F)c2)CCOCC1,0.9996
CN(Cc1ccc(Br)cc1)C(=O)c1cccc2cccnc12,0.9995
Cc1ccccc1C(=O)NC(C(=O)N1CCc2[nH]ncc2C1)C(C)C,0.9991
C#CCCN1CCN(C(=O)c2nc(C)oc2-c2ccccc2)CC1,0.999
CCc1noc(CCCC(=O)N2CCCC(n3nc(C)nc3C)C2)n1,0.9989
Cc1ccc2nc(NC(=O)CCc3c(C)nc4cc(O)nn4c3C)sc2c1,0.9989
CCN(CC)S(=O)(=O)c1ccc(-c2csc(CC(N)=O)n2)cc1,0.9988
Cn1ncc(CNC(=O)c2ncc(C(F)(F)F)cc2Cl)n1,0.9985
CN1CCN(Cc2ccc(C(=O)N3CCC4(C3)C(=O)Nc3ccccc34)cc2)CC1,0.9981
Cc1ccc(-c2nc(CC(=O)N(C)C(C)c3ccc(F)cc3)cs2)o1,0.9977
CCc1cccc2c(CC(=O)N3CCOCC3C(=O)O)c[nH]c12,0.9976
Cn1nccc1S(=O)(=O)N1CCCCC1c1nc[nH]n1,0.9976
CCn1cc(S(=O)(=O)N2CCN(CC(O)C3CC3)CC2)cn1,0.9976
Cc1cccc(CNc2ccc(C(=O)N(C)C)cc2)c1,0.9976
COc1ccc(C(N)=O)cc1NC(=O)CC1CCCc2ccccc21,0.9972
O=C(NCc1ccc2c(c1)OCO2)c1cnn(-c2ccccc2)c1C1CC1,0.997
CNS(=O)(=O)c1cc(C(=O)N2CCN(C)CC2)cc(C)c1C,0.997
O=C1CN(C(=O)COC(=O)c2ccccc2F)c2ccccc2N1,0.9968
CCn1cc(C(=O)N2CCCCC2CCC(=O)O)cn1,0.9968
CCc1noc(CC)c1CC(=O)N1CCC(C)(C(=O)O)C1,0.9967
CC(=O)NC1(C(=O)NC2COc3c2ccc(C)c3C)CCCCC1,0.9965
CC(C)(CC(N)=O)NC(=O)c1ccc(C(=O)O)cc1,0.9964
CC(C(=O)NC1c2ccccc2CCC1C)c1ccnn1C,0.9962
Cc1cc(CN(C)C(=O)Cc2ccccc2F)no1,0.9961
COCC1(C(N)=O)CCCN1Cc1cnn(C)c1,0.9957
CCN(CC)C(=O)Oc1cccc2cccnc12,0.9953
CCc1nnc(NC(=O)c2ccc(N3CCOCC3)c([N+](=O)[O-])c2)s1,0.9953
CCc1cc(C(=O)N2CCN(c3cccc(OC)c3)CC2)sc1C,0.9951
C=CCNC(=O)NC(c1ccc(F)cc1)C(F)(F)F,0.9949
NC(=O)C1CN(C(=O)CN2C(=O)NC3(CCCC3)C2=O)c2ccccc2O1,0.9949
CC1CC1N1CC(NC(=O)c2ccccc2-c2cn[nH]c2)CC1=O,0.9948
