SMILES,Prediction_Score
N#Cc1cccc2c1CC[C@H]2NC(=O)c1ccc(S(=O)(=O)NCc2ccco2)cc1,0.785
N#Cc1cccc2c1CC[C@H]2NC(=O)c1ccc(SCc2cn3ccccc3n2)cc1,0.76
N#Cc1cccc2c1CC[C@H]2NC(=O)c1ccc(Nc2ncnc3ccccc23)cc1,0.74
N#Cc1cccc(OCc2cn(-c3ccc(C(=O)N4CCC(C#N)CC4)cc3)nn2)c1,0.685
Cc1ccc(NC(=O)c2cccc(F)c2)c(-c2nc3ccccc3nc2O)c1,0.67
Cc1cccc(-n2cnc3cc(C(=O)NCc4cccc(CO)c4)ccc32)c1,0.655
CCN(CC)Cc1cn(Cc2ccc(C(=O)N[C@@H]3CCc4c(C#N)cccc43)cc2)nn1,0.645
NC(=O)c1cc(NC(=O)c2ccc(NS(=O)(=O)c3ccc(F)cc3)cc2)ccc1F,0.645
COc1c(C#N)cccc1CC(=O)Nc1ccc2c(c1)CCCN2C(=O)c1ccccc1,0.64
O=C(c1cc(-c2ccncc2)nc2ccccc12)N1CCc2ccccc21,0.625
N#Cc1cc(Oc2ccc(NC(=O)c3cn[nH]c3-c3ccco3)cc2)ccn1,0.615
COc1ccc(-c2cncc(C(=O)N[C@@H]3CCc4c(C#N)cccc43)c2)c(C)c1,0.61
O=C(c1cc(-c2ccccc2Cl)[nH]n1)N1CC[C@@H](c2ccccc2)[C@@H](CO)C1,0.6
O=C(NCc1cccnc1)c1ccc(CSc2nc3ccccc3[nH]2)cc1,0.6
CNS(=O)(=O)c1cccc(C(=O)Nc2ccccc2N2CCc3ccccc3C2)c1,0.585
O=C(NCc1ccc(-c2nc3ccccc3s2)o1)c1ccccc1F,0.58
O=C(NCc1ccccc1)c1ccc(Cn2nnc3ccccc32)cc1,0.58
Cc1cc(C(=O)Nc2cccc(S(=O)(=O)N3CCCC3)c2)c2ccccc2n1,0.575
Cc1nc(-c2ccc(NC(=O)c3ccccc3C)cc2)cs1,0.565
Cc1c(C(=O)N2CCc3ccccc32)oc2ccccc12,0.56
N#Cc1ccccc1NC(=O)COc1cccc(C(=O)NCc2ccccc2)c1,0.555
O=C(CC1C(=O)Nc2ccccc2N1C(=O)c1ccco1)Nc1ccc(Cl)c(Cl)c1,0.555
Cc1cc2nc(NCc3ccc(NC(N)=O)cc3)c3ccccc3n2n1,0.55
Cc1nc2ccc(NC(=O)c3ccc(F)cc3)cc2o1,0.55
CC(=O)c1cccc(OCc2cn(-c3ccc(C(=O)N4CCC(C#N)CC4)cc3)nn2)c1,0.545
Cc1nc(-c2ccccn2)sc1C(=O)Nc1cnc2ccccc2c1,0.54
Cc1ccc(S(=O)(=O)NCc2ccco2)cc1C(=O)N1CCc2ccccc21,0.54
CS(=O)(=O)c1cccc(C(=O)Nc2cccc(-c3nc4ccccc4[nH]3)c2)c1,0.535
Cc1ccc(-c2nc(C(=O)Nc3ccc(F)c(C(N)=O)c3)cs2)o1,0.535
COc1ccccc1NC(=O)Nc1cccc(S(=O)(=O)Nc2ccccc2OC)c1,0.535
Cc1cc(OCC(=O)O)ccc1NC(=O)Cc1csc(-c2cccc(Cl)c2)n1,0.53
NC(=O)Cc1ccc(NC(=O)c2cccc(S(=O)(=O)Nc3ccc(Br)cc3)c2)cc1,0.53
Cc1ccc(S(=O)(=O)NCc2ccc(C(=O)Nc3cccnc3)cc2)cc1,0.53
NC(=O)Cc1csc(NC(=O)c2ccc(NS(=O)(=O)c3ccccc3)cc2)n1,0.525
O=C(Nc1cccc(NC(=O)c2ccncc2)c1)c1ccccc1,0.525
C=CCN(Cc1cccc(C#N)c1)C(=O)c1cc(-c2ccncc2)on1,0.525
Cc1ccc(F)c(NC(=O)c2ccc3ncccc3c2)c1,0.52
O=C(c1cc(-c2ccco2)on1)N1CCCC(CO)(c2ccccc2)C1,0.52
Cc1ccc(CNCc2cccc(NC(=O)c3ccccc3Cl)c2)cc1,0.52
CNc1ccc(C(=O)N(Cc2ccc(C#N)cc2)Cc2cccc(F)c2)nc1,0.515
O=C(O)c1ccc(NC(=O)c2cc3cc(F)ccc3s2)cc1,0.515
O=C(NCc1ccc2c(c1)OCO2)c1ccc(=O)n(Cc2ccccc2)n1,0.51
O=C(Nc1ccccc1C(F)(F)F)c1ccccc1NS(=O)(=O)c1ccc(F)cc1,0.51
O=C1CCc2cc(C(=O)Nc3ccc(Cl)cc3)ccc2N1,0.51
O=S(=O)(Nc1cccc(OCc2ccccn2)c1)c1ccc2ccccc2c1,0.51
N#CCCn1cc(C(=O)Nc2ccc(Cl)cc2)c(-c2cc3ccccc3o2)n1,0.51
Cc1cccnc1NC(=O)c1oc2c(ccc3ccccc32)c1C,0.505
O=C(Nc1cccnc1)C1CCN(C(=O)c2ccc(-c3ccc(F)cc3)o2)CC1,0.505
Cc1cccc(NC(=O)Cc2nc(-c3ccc(F)cc3)cs2)c1,0.505
O=c1c2ccsc2ncn1Cc1coc(-c2ccccc2)n1,0.505
Cc1ccc(NC(=O)C(Sc2nnc(-c3ccco3)o2)c2ccccc2)cc1Cl,0.505
CCN(Cc1cccc(F)c1)Cc1nnc(C(=O)NCc2ccc(F)cc2)s1,0.505
Cc1noc(C)c1COc1cccc(C(=O)NC2CCSc3ccc(F)cc32)c1,0.505
Cc1ccc(S(=O)(=O)Nc2ccc(-c3cn4ccsc4n3)cc2)cc1,0.505
Cc1nc(-c2ccc3c(c2)CCN3C(=O)c2ccc(N3CCCS3(=O)=O)cc2)cs1,0.5
N#Cc1cccc2c1CC[C@H]2NC(=O)c1ccc(-c2ccco2)[nH]1,0.5
COc1ccccc1NC(=O)c1cccc(OCc2cscn2)c1,0.495
O=C(Nc1nc(-c2ccccn2)cs1)c1cccc(Br)c1,0.495
Cc1c(-c2ccccc2)sc2ncnc(NCC(=O)NCc3ccco3)c12,0.495
Cc1nc(-c2ccccc2Cl)sc1C(=O)Nc1ccc(Oc2ncccn2)cc1,0.495
O=C(Nc1cccc(-c2nnn[nH]2)c1)c1cc2cc(Br)ccc2o1,0.49
COc1ccc(-n2c(NC(=O)c3ccncn3)nc3ccccc32)cc1,0.49
Cc1cc(F)cc2c1N(C(=O)c1csc(-c3ccccn3)n1)CCC2,0.485
NC(=O)c1cnc(NC(=O)c2cccc(S(=O)(=O)N3CCc4ccccc43)c2)s1,0.485
O=c1cc(CN(Cc2ccco2)c2ccccc2)nc2sccn12,0.485
Cc1ccccc1NC(=O)c1cnc2ccccn2c1=O,0.485
O=C(Cc1c[nH]c2ccccc12)Nc1cccc(-c2cnco2)c1,0.485
O=C(c1cnn(Cc2ccccc2)c1)N1CCC(c2nc3ccccc3s2)CC1,0.485
CN(c1ccccc1)S(=O)(=O)c1cccc(NC(=O)c2ccc3[nH]cnc3c2)c1,0.48
NC(=O)C(NC(=O)c1cnc(-c2ccccc2)s1)c1ccccc1,0.48
O=C(N=c1sccn1Cc1ccccc1F)c1cccnc1,0.48
Cc1sc2ncn(CC(=O)N(Cc3ccccc3)c3ccccc3)c(=O)c2c1C,0.48
COc1ccc(Cl)cc1NC(=O)CSc1nnc(-c2n[nH]c3ccccc23)o1,0.475
O=C(Nc1ccncc1)c1ccccc1SCc1ccco1,0.475
O=C1CCCN1c1cccc(-c2csc(-c3cccnc3)n2)c1,0.475
O=c1c2ccccc2ncn1Cc1csc(COc2ccc(F)cc2)n1,0.47
CC(=O)Nc1ccc(CCNc2ncnc3ccccc23)cc1,0.47
N#Cc1ccc(NC(=O)Cn2cnc3ccccc3c2=O)cc1,0.47
Cc1nc2ccc(NC(=O)c3ccc(OCC(N)=O)cc3)cc2s1,0.47
O=C(Cc1cn2ccccc2n1)Nc1nc2ccc(Cl)cc2s1,0.47
O=C(c1n[nH]c2ccccc12)N1CCN(S(=O)(=O)c2ccc(Br)cc2)CC1,0.47
Cc1ccccc1C(=O)N1CCC(C(=O)NCc2cn3ccccc3n2)CC1,0.47
CS(=O)(=O)c1ccccc1NC(=O)c1cc(-c2cccs2)nn1-c1ccccc1,0.47
Cc1nc2ccccc2c(=O)n1NC(=O)COc1cccc(F)c1,0.47
Cc1cccc(COc2cccc(CC(=O)Nc3ccc4c(=O)[nH]ccc4c3)c2)c1,0.465
NC(=O)c1ccc(NC(=O)CNC(=O)c2sc3ccccc3c2Cl)cc1,0.465
O=C(O)CCc1ccc(S(=O)(=O)Nc2ccc(-c3cn4ccsc4n3)cc2)cc1,0.465
O=C(Nc1nc(-c2ccccn2)cs1)C1CCCN(S(=O)(=O)c2ccc(F)cc2)C1,0.46
O=C(O)c1coc(Cn2cnc3scc(-c4ccccc4)c3c2=O)c1,0.46
O=C(Cc1csc(-c2ccsc2)n1)Nc1ccccc1OC(F)F,0.46
