SMILES,Prediction_Score
N#Cc1cccc2c1CC[C@H]2NC(=O)c1ccc(S(=O)(=O)NCc2ccco2)cc1,0.9543
N#Cc1cccc2c1CC[C@H]2NC(=O)c1ccc(Nc2ncnc3ccccc23)cc1,0.9395
COc1c(C#N)cccc1CC(=O)Nc1ccc2c(c1)CCCN2C(=O)c1ccccc1,0.9339
COc1cc(NC(=O)c2sc3cccc(F)c3c2C)cc(OC)c1,0.9177
N#Cc1cccc2c1CC[C@H]2NC(=O)c1ccc(-c2ccco2)[nH]1,0.9112
N#Cc1cccc2c1CC[C@H]2NC(=O)c1ccc(SCc2cn3ccccc3n2)cc1,0.9053
CCN(CC)Cc1cn(Cc2ccc(C(=O)N[C@@H]3CCc4c(C#N)cccc43)cc2)nn1,0.8934
COc1ccc(-c2cncc(C(=O)N[C@@H]3CCc4c(C#N)cccc43)c2)c(C)c1,0.8929
N#Cc1cccc(OCc2cn(-c3ccc(C(=O)N4CCC(C#N)CC4)cc3)nn2)c1,0.8821
CC(=O)c1cccc(OCc2cn(-c3ccc(C(=O)N4CCC(C#N)CC4)cc3)nn2)c1,0.8755
CC(C)(C)c1ncsc1C(=O)Nc1ccc2c(c1)CCCC(=O)N2,0.8326
CCN(CC)S(=O)(=O)c1ccc(C(=O)N2CCSc3ccccc32)cc1,0.8122
O=C(O)c1ccc(NC(=O)c2cc3cc(F)ccc3s2)cc1,0.8076
Cc1sc2ncn(CC(=O)N(Cc3ccccc3)c3ccccc3)c(=O)c2c1C,0.7928
Cc1nc2ccc(C(=O)N3CCC(C)CC3c3ccco3)cc2n1C,0.7922
CCCn1c(NC(=O)c2ccc(OC)nc2)nc2ccccc21,0.7826
Cc1ncsc1C(=O)N1CCCc2c(F)ccc(F)c21,0.7797
COCc1c(C(=O)NCc2nc3ccccc3s2)sc2cccc(F)c12,0.7506
CC1(C)CC(NC(=O)c2cccc(NC(N)=O)c2)c2ccccc2O1,0.7445
N#CCCn1cc(C(=O)Nc2ccc(Cl)cc2)c(-c2cc3ccccc3o2)n1,0.733
COc1ccc(Cl)cc1NC(=O)CSc1nnc(-c2n[nH]c3ccccc23)o1,0.7142
Cc1ccc(NC(=O)COC(=O)c2cc(-c3ccco3)[nH]n2)c(Br)c1,0.7073
O=C(Nc1cccnc1)C1CCN(C(=O)c2ccc(-c3ccc(F)cc3)o2)CC1,0.6918
CCn1c(NC(=O)c2ccc(Cl)c(N3CCCC3=O)c2)nc2ccccc21,0.6908
CC1(C)CCc2[nH]c(=O)c(C(=O)NCc3ccc4cncn4c3)cc2C1,0.6845
Cc1ccccc1Nc1nc2sc(C(=O)N3CCCC(N)C3)cc2s1,0.6722
COc1cc(N2C(=O)c3ccccc3C2=O)c(Cl)cc1C(=O)OCC(=O)NCc1ccco1,0.6721
Cc1occc1C(=O)NC1CCCc2ccccc21,0.6639
O=C(O)COc1ccc(C(=O)N2CCC3(C2)OCc2ccccc23)cc1,0.663
NC(=O)c1ccc(Cl)c(NC(=O)c2cnn(-c3ccc(F)cc3)c2-n2cccc2)c1,0.6533
N#Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)NC3=NCCC3)cc2)cc1,0.6487
Cc1nc(C(NC(=O)c2cncc(O)c2)c2ccc(Cl)cc2)no1,0.646
CNS(=O)(=O)c1cc(C(=O)N2CCN(C)CC2)cc(C)c1C,0.6409
NC(=O)c1cnc(NC(=O)c2cccc(S(=O)(=O)N3CCc4ccccc43)c2)s1,0.6285
CS(=O)(=O)c1cccc2c1CCCN2C(=O)c1ncccc1C(F)(F)F,0.6256
Cc1ccc(NC(=O)c2cccc(F)c2)c(-c2nc3ccccc3nc2O)c1,0.6238
